accuracy,loss,val_accuracy,val_loss
0.3592095971107483,0.7527283430099487,0.8507042527198792,0.6799834370613098
0.4156669080257416,0.7560540437698364,0.8507042527198792,0.674612283706665
0.4163726270198822,0.777155876159668,0.8507042527198792,0.6752065420150757
0.4509527087211609,0.7422666549682617,0.8507042527198792,0.6774701476097107
0.47212421894073486,0.7365204691886902,0.8507042527198792,0.6902173757553101
0.4805927872657776,0.7148744463920593,0.14929577708244324,0.6969201564788818
0.47706422209739685,0.7457787990570068,0.14929577708244324,0.7096610069274902
0.4707127809524536,0.7391016483306885,0.14929577708244324,0.7051449418067932
0.4791813790798187,0.7232860922813416,0.14929577708244324,0.7172645330429077
0.4947071373462677,0.7268826961517334,0.14929577708244324,0.6940340399742126
